epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_auc,learning_rate,train_time_sec,val_time_sec
1,0.88392925311073,0.9841889707294441,0.757396449704142,0.575,0.69,0.7857142857142857,0.6272727272727273,0.8031092436974789,5e-05,582.4494347572327,38.85470962524414
2,0.8618019077967393,1.3336862470877506,0.7988165680473372,0.6739130434782609,0.62,0.8739495798319328,0.6458333333333334,0.8329201680672269,5e-05,563.6747455596924,36.25367188453674
3,0.7232704024931138,0.970762899757181,0.7751479289940828,0.6071428571428571,0.68,0.8151260504201681,0.6415094339622641,0.8440966386554623,5e-05,563.4994320869446,36.13092851638794
4,0.7279779435572187,0.9166195351084881,0.8017751479289941,0.6434782608695652,0.74,0.8277310924369747,0.6883720930232559,0.8636134453781512,5e-05,563.2604110240936,36.143001317977905
5,0.598603907638895,1.2926504833061667,0.6331360946745562,0.4423076923076923,0.92,0.5126050420168067,0.5974025974025974,0.8579411764705882,5e-05,562.382509469986,36.17495059967041
6,0.6315493545386528,0.9979537529102802,0.7928994082840237,0.6136363636363636,0.81,0.7857142857142857,0.6982758620689655,0.8742436974789917,5e-05,563.168359041214,36.202720403671265
7,0.5112216934348413,1.3007922857003038,0.7928994082840237,0.6136363636363636,0.81,0.7857142857142857,0.6982758620689655,0.8652731092436974,5e-05,563.0479323863983,36.18373894691467
8,0.4014148748974642,1.018369793224413,0.8224852071005917,0.6851851851851852,0.74,0.8571428571428571,0.7115384615384616,0.8721008403361346,2.5e-05,562.3247230052948,36.21758556365967
9,0.27773047090965064,1.2143142082385399,0.8106508875739645,0.68,0.68,0.865546218487395,0.68,0.8842226890756303,2.5e-05,560.6089570522308,36.104435443878174
10,0.3327297374794721,1.4063129850032776,0.8165680473372781,0.69,0.69,0.8697478991596639,0.69,0.8793487394957984,2.5e-05,560.2759783267975,36.16826820373535
11,0.28092266961182,1.1652137539117011,0.8165680473372781,0.6610169491525424,0.78,0.8319327731092437,0.7155963302752294,0.8775210084033613,2.5e-05,560.2353377342224,36.177857637405396
